仮想キーコード

以下の表は、ウィンドウの仮想キーコードの一覧です。
定数名	値（16進数）	意味
VK_F24	87	[F24]
-	88 ～ 8F	割り当てなし
VK_NUMLOCK	90	[Num Lock]
VK_SCROLL	91	[Scroll Lock]
	92 ～ 96	OEM 固有コード
	97 ～ 9F	割り当てなし
VK_LSHIFT	A0	左の [Shift]
VK_RSHIFT	A1	右の [Shift]
VK_LCONTROL	A2	左の [Ctrl]
VK_RCONTROL	A3	右の [Ctrl]
VK_LMENU	A4	左の [Alt]
VK_RMENU	A5	右の [Alt]
VK_BROWSER_BACK	A6	Windows 2000/XP： ブラウザの「戻る」キー
VK_BROWSER_FORWARD	A7	Windows 2000/XP： ブラウザの「次へ」キー
VK_BROWSER_REFRESH	A8	Windows 2000/XP： ブラウザの「更新」キー
VK_BROWSER_STOP	A9	Windows 2000/XP： ブラウザの「中止」キー
VK_BROWSER_SEARCH	AA	Windows 2000/XP： ブラウザの「検索」キー
VK_BROWSER_FAVORITES	AB	Windows 2000/XP： ブラウザの「お気に入り」キー
VK_BROWSER_HOME	AC	Windows 2000/XP： ブラウザの「ホーム」キー
VK_VOLUME_MUTE	AD	Windows 2000/XP： ボリュームのミュートキー
VK_VOLUME_DOWN	AE	Windows 2000/XP： ボリュームダウンキー
VK_VOLUME_UP	AF	Windows 2000/XP： ボリュームアップキー
VK_MEDIA_NEXT_TRACK	B0	Windows 2000/XP： 「次のトラック」キー
VK_MEDIA_PREV_TRACK	B1	Windows 2000/XP： 「前のトラック」キー
VK_MEDIA_STOP	B2	Windows 2000/XP： 「メディア停止」キー
VK_MEDIA_PLAY_PAUSE	B3	Windows 2000/XP： 「メディア Start / Stop 」キー
VK_LAUNCH_MAIL	B4	Windows 2000/XP： 「メール開始」キー
VK_LAUNCH_MEDIA_SELECT	B5	Windows 2000/XP： 「メディア選択」キー
VK_LAUNCH_APP1	B6	Windows 2000/XP： 「アプリケーション 1 起動」キー
VK_LAUNCH_APP2	B7	Windows 2000/XP： 「アプリケーション 2 起動」キー
	B8 ～ B9	予約
VK_OEM_1	BA	

さまざまな文字のために使用できます。

Windows 2000/XP： U.S. 標準キーボードでは [ :; ]
VK_OEM_PLUS	BB	Windows 2000/XP： [ + ]
VK_OEM_COMMA	BC	Windows 2000/XP： [ , ]
VK_OEM_MINUS	BD	Windows 2000/XP： [ - ]
VK_OEM_PERIOD	BE	Windows 2000/XP： [ . ]
VK_OEM_2	BF	

さまざまな文字のために使用できます。

Windows 2000/XP： U.S. 標準キーボードでは [ /? ]
VK_OEM_3	C0	

さまざまな文字のために使用できます。

Windows 2000/XP： U.S. 標準キーボードでは [ `~ ]
	C1 ～ D7	予約
	D8 ～ DA	割り当てなし
VK_OEM_4	DB	

さまざまな文字のために使用できます。

Windows 2000/XP： U.S. 標準キーボードでは [ [{ ]
VK_OEM_5	DC	

さまざまな文字のために使用できます。

Windows 2000/XP： U.S. 標準キーボードでは [ \| ]
VK_OEM_6	DD	

さまざまな文字のために使用できます。

Windows 2000/XP： U.S. 標準キーボードでは [ ]} ]
VK_OEM_7	DE	

さまざまな文字のために使用できます。

Windows 2000/XP： U.S. 標準キーボードでは [ '" ]
VK_OEM_8	DF	

さまざまな文字のために使用できます。
-	E0	予約
	E1	OEM 固有コード
VK_OEM_102	E2	Windows 2000/XP： RT 102-key キーボードの角カッコまたはバックスラッシュ
	E3 ～ E4	OEM 固有コード
VK_PROCESSKEY	E5	Windows 95/98/Me/NT 4.0/2000/XP： IME Process
	E6	OEM 固有コード
VK_PACKET	E7	

Windows 2000/XP： Unicode 文字がキーストロークであるかのように通すために使用されます。
-	E8	割り当てなし
	E9 ～ F5	OEM 固有コード
VK_ATTN	F6	Attn
VK_CRSEL	F7	CrSel
VK_EXSEL	F8	ExSel
VK_EREOF	F9	Erase EOF
VK_PLAY	FA	Play
VK_ZOOM	FB	Zoom
VK_NONAME	FC	予約
VK_PA1	FD	PA1
VK_OEM_CLEAR	FE	Clear
